ID,Area (int), Perimeter (float), MajorAxisLength (float), MinorAxisLength (float), AspectRation (float), Eccentricity (float), ConvexArea (float), EquivDiameter (float), Extent (float), Solidity (float), roundness (float), Compactness (float), ShapeFactor1 (float), ShapeFactor2 (float), ShapeFactor3 (float), ShapeFactor4 (float),class
45,67073,1006.501,384.2772957511,224.2325554502,1.7137444426,0.8121005114,68005,292.2327770529,0.7329421278,0.9862951254,0.8320112033,0.7604737003,0.0057292397,0.0011819893,0.5783202489,0.9910931126,CALI
46,26088,601.714,223.0046202382,150.1279029686,1.4854308615,0.7394555831,26490,182.2533216242,0.7174917492,0.9848244621,0.905462393,0.8172625367,0.0085481685,0.0023523352,0.6679180538,0.9921460901,DERMASON
47,69522,1025.929,363.1792577736,244.6659062403,1.4843885009,0.7390249253,70630,297.52001551,0.7862167236,0.984312615,0.8300371087,0.8192098231,0.0052239472,0.0014513065,0.6711047342,0.9961801504,BARBUNYA
48,45502,797.005,304.5152524171,190.7146866178,1.5967058322,0.7795906224,45895,240.6967921775,0.7909952195,0.9914369757,0.9001569899,0.7904260633,0.0066923487,0.0016113999,0.6247733615,0.9975792702,SIRA
49,30925,648.757,233.8083005889,168.5379706832,1.387273738,0.6931033039,31292,198.4311793064,0.7530927333,0.9882717628,0.9233268367,0.848691765,0.0075604948,0.002419524,0.720277712,0.999222354,DERMASON
50,31056,646.703,235.3317725065,168.2782575079,1.3984680849,0.6990547381,31392,198.8510178533,0.7794593781,0.9892966361,0.9331374744,0.8449816008,0.0075776588,0.002382889,0.7139939057,0.9984976899,DERMASON
51,41433,749.935,261.1735592389,202.5314316248,1.289545811,0.6313883101,42055,229.68268123,0.7478340914,0.9852098443,0.9257825663,0.8794254744,0.0063035155,0.0023257271,0.773389165,0.997320758,SEKER
52,63716,979.012,373.087467556,218.6783261994,1.7061017159,0.8102159192,64479,284.8257903216,0.7522550177,0.9881666899,0.8353766606,0.7634289948,0.0058554754,0.0012269208,0.5828238301,0.9943567365,CALI
53,50961,869.395,348.3741535916,187.1450483228,1.861519483,0.8434577233,51616,254.7264423637,0.6907530904,0.9873101364,0.8472538074,0.7311863975,0.0068360934,0.0012053139,0.534633548,0.9952307658,SIRA
54,34865,680,224.8250921173,197.6776320125,1.1373319775,0.4763592233,35256,210.6928967175,0.7931795432,0.9889096891,0.9475054314,0.9371413784,0.0064484466,0.0030679998,0.878233963,0.9988435699,SEKER
55,44568,806.698,310.3798236486,183.2864717623,1.6934137073,0.807020698,45105,238.2136436684,0.7224275433,0.9880944463,0.8606192362,0.7674907501,0.0069641856,0.0014905368,0.5890420515,0.9974918842,SIRA
56,43329,754.79,265.2865540163,208.1735396919,1.2743529,0.6198605431,43707,234.8791098285,0.7658547794,0.9913514998,0.95573228,0.8853788715,0.0061226097,0.0023207745,0.7838957462,0.9989598174,SEKER
57,46063,829.889,312.4502211119,189.7115169052,1.6469755037,0.7945692249,46775,242.1760375205,0.6939811676,0.9847781935,0.8404697114,0.7750867855,0.0067831062,0.0015101139,0.6007595251,0.9894362215,SIRA
58,66932,1075.6,446.7296068301,196.4919970009,2.2735257092,0.8980734694,69580,291.9254514567,0.7032519044,0.9619430871,0.7270128369,0.6534723622,0.0066743801,0.0007507574,0.4270261282,0.970854881,HOROZ
59,54471,915.945,378.7939634383,183.501840979,2.0642515705,0.8748261067,54914,263.3526746423,0.8066551157,0.9919328404,0.8158990356,0.6952398931,0.0069540483,0.0010022042,0.4833585089,0.9977735612,HOROZ
60,68394,992.182,377.7808444731,232.6215927791,1.6240145206,0.7879352986,69082,295.0965018814,0.729536,0.9900408211,0.8730621897,0.7811314581,0.0055235963,0.0012685226,0.6101663548,0.9909190202,CALI
61,76189,1053.226,399.3877222509,244.820528376,1.6313489923,0.7900909599,77268,311.4592231317,0.7198507181,0.9860356163,0.8630957821,0.7798417572,0.0052420654,0.0011959366,0.6081531663,0.992110055,CALI
62,36911,690.768,229.5186144911,204.9146295216,1.1200694408,0.4504497379,37249,216.7868649981,0.777090044,0.9909259309,0.9720783132,0.9445284666,0.006218163,0.0030528261,0.8921340242,0.9992520576,SEKER
63,43616,752.431,262.5572704739,211.7062082682,1.2401963675,0.591474202,43970,235.6557149385,0.7882599581,0.9919490562,0.968104721,0.8975402377,0.0060197467,0.0024097594,0.8055784782,0.9990755024,SEKER
64,82896,1107.807,429.8403264456,247.6613611598,1.7355970444,0.8173294521,84124,324.8791549182,0.7655424624,0.9854025011,0.848819267,0.7558135776,0.0051852964,0.0010437875,0.5712541641,0.9914670387,CALI
65,45428,769.104,265.474188094,218.1533582606,1.2169154315,0.5698484737,45811,240.5009896824,0.7851365365,0.9916395626,0.9650800566,0.9059298435,0.0058438449,0.0024280449,0.8207088814,0.9987333025,SEKER
66,74734,1045.291,410.5420843823,233.9440810887,1.7548727135,0.8217543488,75497,308.4708805321,0.7543402778,0.9898936382,0.8595154141,0.7513745661,0.0054933776,0.0010800533,0.5645637386,0.9907374999,CALI
67,36975,692.588,239.6615036217,196.5264131214,1.2194874969,0.5723397274,37239,216.9747270227,0.7574360865,0.9929106582,0.968652763,0.9053382531,0.0064817175,0.0026860454,0.8196373525,0.9995375034,SEKER
68,55660,936.905,325.9133610466,217.9664206744,1.4952457357,0.7434546136,56773,266.2114067052,0.7054499366,0.9803956106,0.7968231676,0.8168164872,0.0058554323,0.0016078173,0.6671891738,0.997611767,BARBUNYA
69,67549,991.709,384.4144069739,224.2826694358,1.7139728537,0.8121563799,68128,293.2678946072,0.7662091652,0.9915012917,0.8630983353,0.7628951706,0.0056908971,0.0011891043,0.5820090414,0.9975476976,CALI
70,57037,937.725,382.9951119853,191.8901584153,1.9959080505,0.8654327614,57775,269.4842554085,0.6110212433,0.987226309,0.8151087394,0.7036232238,0.0067148537,0.0010152593,0.4950856411,0.9881454168,HOROZ
71,43400,774.798,293.5131445125,188.7224233923,1.5552637532,0.7658848501,43739,235.0714704968,0.8073817762,0.9922494799,0.9084951466,0.8008890739,0.0067629757,0.0017163548,0.6414233088,0.9975824225,SIRA
72,47863,839.571,326.2859977947,187.9306183007,1.7362045671,0.8174715387,48519,246.862440095,0.7685872114,0.9864795235,0.8532865935,0.7565830031,0.006817082,0.0013778585,0.5724178406,0.9938344692,SIRA
73,37231,726.753,269.4122527974,176.7364301418,1.5243730598,0.7547544619,37633,217.7245541735,0.729590437,0.9893178859,0.8858106529,0.8081464444,0.0072362347,0.0019039374,0.6531006756,0.9955690752,DERMASON
74,42892,776.661,277.8206481786,198.3588253485,1.4005963571,0.7001644831,43478,233.6916570029,0.7146165509,0.9865219191,0.8935588615,0.8411601461,0.0064772137,0.0020002429,0.7075503913,0.9909925006,SIRA
75,50824,899.867,366.8201927465,178.4143388904,2.0560017487,0.8737468804,51974,254.383817531,0.7387209302,0.9778735522,0.7887185498,0.693483681,0.0072174601,0.0010296963,0.4809196158,0.9887715711,HOROZ
76,30969,651.527,230.1640831265,171.9039529604,1.3389109393,0.6649637125,31318,198.5722927825,0.7336886994,0.9888562488,0.9167949448,0.8627423101,0.0074320799,0.0025398877,0.7443242937,0.9965839392,DERMASON
77,49362,836.657,325.7739688834,193.7052221598,1.6818027168,0.8040216204,49880,250.6983254974,0.6876079568,0.9896150762,0.8861509629,0.7695468314,0.0065996914,0.0014277219,0.5922023257,0.9959674802,SIRA
78,41824,776.757,293.3454116991,182.6543845867,1.6060135231,0.782492696,42377,230.7638852139,0.818697882,0.9869504684,0.8710941125,0.7866626714,0.0070138058,0.0016568671,0.6188381586,0.9938624513,SIRA
79,54609,922.437,360.9467553348,193.2920088953,1.8673651197,0.8445264059,55383,263.686060114,0.7192587324,0.9860245924,0.8064931044,0.7305400484,0.0066096569,0.0011612743,0.5336887623,0.9965917796,HOROZ
80,38559,715.718,232.6019471368,211.3998534555,1.1002937955,0.4171270887,39012,221.5735625147,0.768490284,0.9883881882,0.945914204,0.9525868775,0.0060323646,0.0030639786,0.9074217591,0.9984305315,SEKER
81,83168,1154.625,400.2559404573,265.054216325,1.510090826,0.749316689,84772,325.4117183762,0.7133618102,0.981078658,0.7839424982,0.8130090911,0.0048126195,0.0012970087,0.6609837823,0.9981455457,BARBUNYA
82,85618,1109.054,420.1109726024,261.333709978,1.6075651803,0.7829705621,87049,330.1699915818,0.7480690595,0.9835609829,0.8747210093,0.7859113737,0.0049068067,0.0011547102,0.6176566873,0.9929233839,CALI
83,44978,794.94,293.8469627156,195.8789212516,1.5001459107,0.7454139847,45648,239.3068495532,0.7082814985,0.9853224676,0.8944195908,0.814392796,0.0065331265,0.0017727052,0.6632356261,0.9949502124,SIRA
84,48100,854.778,349.8659195529,175.7418299597,1.9907947905,0.8646864817,48563,247.4728714461,0.8273703041,0.9904659926,0.8272718918,0.7073363183,0.0072737197,0.0011231562,0.5003246672,0.9960437411,HOROZ
85,184491,1656.324,618.6363354987,383.1531608993,1.6145928016,0.7851140572,187848,484.666108623,0.7667955112,0.9821291683,0.8450734535,0.78344268,0.003353206,0.0007792358,0.6137824328,0.9910086978,BOMBAY
86,72465,1027.436,398.7005142953,233.0421625068,1.7108514185,0.8113906153,73476,303.7520429713,0.8164426468,0.986240405,0.8626380352,0.7618551571,0.0055019736,0.0011433729,0.5804232805,0.9930179927,CALI
87,49254,845.116,327.157935218,192.8159883483,1.6967365519,0.80786565,49790,250.4239216536,0.6908188168,0.9892347861,0.8666000746,0.7654526903,0.0066422612,0.0014065952,0.585917821,0.9941481833,SIRA
88,68451,1002.041,384.893597654,228.0712057738,1.6876027658,0.8055288859,69370,295.2194439339,0.7202335859,0.9867521984,0.8566800981,0.7670157304,0.0056229069,0.0012004878,0.5883131307,0.9928388665,BARBUNYA
89,67429,1124.602,393.2619082161,219.2954315134,1.7932973136,0.8300882678,68968,293.0072853394,0.7146687864,0.9776853033,0.6699754359,0.7450690728,0.005832237,0.0011086669,0.5551279233,0.9955094136,BARBUNYA
90,82961,1110.823,439.32409023,241.8592954497,1.8164449268,0.8348180761,83863,325.0065012746,0.7788448901,0.9892443628,0.8448782218,0.7397875703,0.0052955496,0.0009784056,0.5472856491,0.9941142409,CALI
91,48439,835.37,325.6445417213,190.4112149439,1.710217236,0.8112344334,49173,248.3434120476,0.8026612315,0.9850731092,0.8722626637,0.7626211412,0.0067227759,0.0014026966,0.5815910051,0.9946469612,SIRA
92,71279,1047.026,418.5897609289,218.715397267,1.9138559341,0.852635995,72060,301.2561061774,0.7723623045,0.9891618096,0.8170648537,0.719692965,0.0058725538,0.0009718423,0.5179579639,0.9912969228,CALI
93,56270,920.481,374.0994200365,194.0923457578,1.9274300518,0.8548801234,57445,267.6661898377,0.7666212534,0.9795456524,0.8345591483,0.7154948003,0.0066482925,0.0010747707,0.5119328093,0.9867146811,CALI
94,55805,934.264,333.92404334,213.1978428129,1.5662637057,0.7696532718,56596,266.5579351547,0.7093735699,0.9860237473,0.8034220513,0.7982591864,0.0059837657,0.0014987529,0.6372177287,0.9980510011,BARBUNYA
95,36154,679.696,234.9680946356,196.1359723724,1.1979857228,0.5506526429,36386,214.5523304473,0.7842856523,0.9936239213,0.9834149121,0.9131126112,0.0064990899,0.0027869532,0.8337746408,0.9988501157,SEKER
96,51950,901.138,362.6485636189,186.4283434386,1.9452437163,0.8577455971,53086,257.1863028021,0.6343101343,0.978600761,0.8039199539,0.7091888087,0.0069807231,0.0010892502,0.5029487664,0.9783579274,HOROZ
97,52448,882.474,336.9594210523,199.0051126778,1.6932199204,0.8069712398,53082,258.4160746592,0.7891901652,0.9880562149,0.8463206902,0.7669056228,0.0064246381,0.0013708695,0.5881442343,0.9958575336,CALI
98,39375,746.118,271.9917682942,184.9159144194,1.4708943205,0.7333433206,39868,223.9057995541,0.7909167604,0.9876341928,0.8888232286,0.8232079999,0.0069077274,0.0019568308,0.677671411,0.9967830297,SIRA
99,36565,691.737,242.2837447633,192.3284920291,1.2597392212,0.6081591954,36892,215.76840351,0.7520567668,0.9911362897,0.9602701513,0.8905607915,0.0066261109,0.0025709448,0.7930985234,0.9990973162,SEKER
100,44562,850.137,343.5160880589,168.017583714,2.0445246293,0.8722214075,45393,238.1976082846,0.6118800461,0.9816932126,0.774812649,0.6934103425,0.0077087224,0.0010993182,0.4808179031,0.9830440451,HOROZ
101,52210,861.858,331.837025901,201.4842405556,1.6469626854,0.7945656138,52818,257.8290841442,0.8189033189,0.9884887728,0.8832672397,0.776975033,0.0063558136,0.0014288254,0.6036902019,0.9942552361,SIRA
102,74848,1076.314,418.4619924442,230.8197332762,1.8129385495,0.8341149358,76416,308.7060631804,0.6904351195,0.979480737,0.8119178425,0.7377158948,0.005590824,0.0010214383,0.5442247414,0.9866460133,CALI
103,36421,692.256,238.7034583552,194.4487206837,1.2275907885,0.5800179393,36776,215.3431156522,0.7947845063,0.9903469654,0.9550547584,0.9021365553,0.0065540062,0.0026777852,0.8138503644,0.9990752105,SEKER
104,39330,724.501,245.147413671,204.4476139039,1.1990720214,0.5517972989,39743,223.7778168059,0.7862854858,0.9896082329,0.9415769795,0.9128296051,0.0062330896,0.0026695742,0.8332578879,0.99913622,SEKER
105,45956,779.419,282.8423292582,207.0513010385,1.3660495145,0.6812639225,46324,241.8945979509,0.7442026169,0.9920559537,0.9506269186,0.8552277114,0.0061546333,0.0020309957,0.7314144384,0.9991483385,SEKER
106,48130,840.554,331.5392571877,185.5027973911,1.7872466715,0.8288169466,48617,247.5500339085,0.6472565896,0.9899829278,0.8560408455,0.746668844,0.0068884117,0.0013207207,0.5575143626,0.9964156889,SIRA
107,45914,805.448,301.556444262,194.5008748789,1.5504117627,0.7641910552,46466,241.7840368117,0.7794716827,0.9881203461,0.8893648868,0.8017870001,0.0065678539,0.0016743232,0.6428623936,0.9967014168,SIRA
108,30092,652.617,237.0170684297,162.3603117284,1.4598214669,0.7285287066,30531,195.7404515683,0.7107898715,0.9856211719,0.8878593082,0.8258496017,0.0078764146,0.0022600195,0.6820275647,0.9956384799,DERMASON
109,70344,1037.985,378.6510948716,237.9097732439,1.5915743591,0.7779641319,71521,299.2737250994,0.8213535099,0.983543295,0.8204550058,0.7903680437,0.0053828485,0.0012957148,0.6246816445,0.994227288,BARBUNYA
110,33701,686.809,257.7233678843,166.8463550034,1.544674847,0.7621627757,33992,207.1459531275,0.6963592032,0.9914391622,0.8978022649,0.8037530893,0.0076473508,0.0019687084,0.6460190286,0.9978893441,DERMASON
111,45608,820.748,307.8064072664,190.3045772812,1.6174409027,0.7859731659,46407,240.9769888522,0.7465706335,0.9827827698,0.8508073358,0.7828849016,0.0067489565,0.0015638967,0.6129087691,0.9913437128,SIRA
112,42251,790.637,295.4422461832,182.7716595547,1.6164554554,0.7856765329,42813,231.93887989,0.6953752469,0.986873146,0.8493615314,0.7850565817,0.0069925504,0.0016383972,0.6163138365,0.9962438633,SIRA
113,39657,798.425,331.2468658388,152.8965400334,2.1664771862,0.8870991973,40152,224.7061650813,0.7896654719,0.987671847,0.7817384393,0.6783646526,0.0083527969,0.0010910999,0.4601786019,0.9969664427,HOROZ
114,81562,1111.367,432.3076610708,241.1157632067,1.7929464889,0.8300149591,82251,322.2545015166,0.7725430022,0.9916232021,0.8298177812,0.7454286161,0.0053003563,0.0010095064,0.5556638217,0.9962754981,CALI
115,34870,702.12,261.0517750903,170.4606039511,1.5314493146,0.7573784014,35235,210.7080039413,0.7632869276,0.989640982,0.8888717896,0.8071502439,0.0074864289,0.0019600719,0.6514915163,0.9977262361,DERMASON
116,71133,1050.271,366.8312187812,247.46039741,1.4823835354,0.7381932954,72336,300.9474182239,0.7213568604,0.9833692767,0.8103604583,0.8203975093,0.0051569766,0.0014410275,0.6730520733,0.9977213119,BARBUNYA
117,79613,1131.686,407.1782582267,249.7181314676,1.6305514375,0.7898582444,80930,318.3809351626,0.7793200662,0.9837266774,0.7811635436,0.7819202738,0.0051144695,0.0011793162,0.6113993146,0.9969180313,BARBUNYA
118,47811,820.103,305.8660985449,199.5730827785,1.5326019636,0.7578015227,48317,246.728303754,0.8145668285,0.9895274955,0.8933073148,0.8066546274,0.0063974001,0.0016708359,0.6506916879,0.9972513586,SIRA
119,68732,1029.691,359.0093548495,244.4557801327,1.4686065294,0.7323600569,69923,295.8247798761,0.7902500719,0.982966978,0.8146198939,0.8240029845,0.0052233218,0.0014853941,0.6789809185,0.9971558103,BARBUNYA
120,42178,746.834,271.3366348246,198.1780316313,1.3691559685,0.6830442655,42484,231.7384247764,0.745260182,0.9927972884,0.9502714557,0.8540624266,0.0064331318,0.0021113522,0.7294226286,0.9986933455,SEKER
121,37454,698.809,245.967742055,193.9975662642,1.2678908648,0.6147636142,37765,218.3756257198,0.7531621388,0.9917648616,0.9638092518,0.8878222156,0.0065671955,0.0025168871,0.7882282865,0.9993874438,SEKER
122,55238,878.591,338.8208253236,208.0904060395,1.6282385708,0.7891810569,55721,265.2003129185,0.7701681492,0.9913318139,0.8992372926,0.7827155036,0.0061338359,0.0014201285,0.6126435596,0.9975298738,SEKER
123,49106,891.917,369.0260417104,170.8577362708,2.1598439132,0.8863601496,49927,250.0473976745,0.7619357942,0.9835559917,0.7757031234,0.6775874042,0.007514887,0.0009771551,0.4591246903,0.9916376677,HOROZ
124,74929,1062.433,423.1975311325,227.1826895213,1.862807118,0.8436941058,75651,308.8730578206,0.6785080411,0.9904561737,0.8341740916,0.7298555287,0.0056479805,0.0009885999,0.5326890927,0.9922970337,CALI
125,40445,730.904,258.3133108859,199.9540393168,1.2918634291,0.633093134,40795,226.9276831654,0.7679819231,0.9914205172,0.9513800199,0.8784978304,0.0063867798,0.0023465212,0.7717584379,0.997006502,SEKER
126,30283,650.688,245.6005881656,157.1609586775,1.5627328201,0.7684543171,30610,196.3606710449,0.8073313783,0.9893172166,0.8988002106,0.7995122182,0.0081101802,0.0020441402,0.6392197871,0.9989297406,DERMASON
127,30917,640.765,213.5600893931,184.439870859,1.1578846179,0.5041023654,31280,198.4055115277,0.7708052855,0.9883951407,0.9462581799,0.9290383428,0.0069075295,0.0031742203,0.8631122423,0.9993843889,SEKER
